url|idiom|sentence
https://idioms.thefreedictionary.com/at+one%27s+fingertips|at one's fingertips|With our new 24-hour phone service, you have quality customer care at your fingertips.
https://idioms.thefreedictionary.com/at+one%27s+fingertips|at one's fingertips|Because the Internet is so easy to access these days, we have every resource imaginable at our fingertips!
https://idioms.thefreedictionary.com/at+one%27s+leisure|at one's leisure|No rush, you can fill out that paperwork at your leisure.
https://idioms.thefreedictionary.com/at+one%27s+leisure|at one's leisure|I like to spend my weekends reading at leisure.
https://idioms.thefreedictionary.com/at+one%27s+leisure|at one's leisure|I just graduated from college—can't I spend some time at leisure?
https://idioms.thefreedictionary.com/at+one%27s+wit%27s+end|at one's wit's end|The baby's been crying for hours, and I'm at my wits' end!
https://idioms.thefreedictionary.com/at+one%27s+wit%27s+end|at one's wit's end|I'm already at my wits' end, so if this train gets delayed too, I'm going to scream.
https://idioms.thefreedictionary.com/at+opposite+poles|at opposite poles|The two parties of the government are at opposite poles on so many issues, it's a wonder anything is accomplished at all!
https://idioms.thefreedictionary.com/at+opposite+poles|at opposite poles|Steve and I are just at opposite poles about the meaning of this poem.
https://idioms.thefreedictionary.com/at+outs|at outs|Jen and I have been at outs ever since she accused me of stealing her bike.
https://idioms.thefreedictionary.com/at+outs|at outs|Can I come crash at your place? I'm at outs with my wife at the moment.
https://idioms.thefreedictionary.com/at+pains|at pains|Annabelle is at pains to make sure her relatives are comfortable when they come to visit. So far, she's cleaned the whole house and set up all the guest rooms.
https://idioms.thefreedictionary.com/at+pains+to|at pains to|Annabelle is at pains to make sure her relatives are comfortable when they come to visit. So far, she's cleaned the whole house and set up all the guest rooms.
https://idioms.thefreedictionary.com/at+pains%2c+be+at|at pains, be at|Annabelle is at pains to make sure her relatives are comfortable when they come to visit. So far, she's cleaned the whole house and set up all the guest rooms.
https://idioms.thefreedictionary.com/at+par|at par|I hope you bought this at par and didn't pay more than it's worth.
https://idioms.thefreedictionary.com/at+peace|at peace|My daughter was miserable all week, but she's at peace now that her tests are over.
https://idioms.thefreedictionary.com/at+peace|at peace|It is a great relief to know that those two warring factions are at peace.
https://idioms.thefreedictionary.com/at+peace|at peace|Aunt Margaret suffered through a long illness. At least she is at peace now.
https://idioms.thefreedictionary.com/at+peace|at peace|I am always at peace when I sit in my rocking chair.
https://idioms.thefreedictionary.com/at+peace|at peace|When the warm breeze is blowing, I am at peace.
https://idioms.thefreedictionary.com/at+peace|at peace|It was a long illness, but she is at peace now.
https://idioms.thefreedictionary.com/at+peace|at peace|At last, Uncle George is at peace.
https://idioms.thefreedictionary.com/at+peace|at peace|She is at peace with herself and her friends.
https://idioms.thefreedictionary.com/at+peace|at peace|Everyone wants to live in a world at peace.
https://idioms.thefreedictionary.com/at+peace+with|at peace with|I was initially disappointed to give up my career as an actor, but I'm at peace with it now.
https://idioms.thefreedictionary.com/at+play|at play|The kids love the game you bought them—they've been at play for hours now.
https://idioms.thefreedictionary.com/at+play|at play|What do you like to do when you're at play?
https://idioms.thefreedictionary.com/at+play|at play|It's a complicated matter with several important issues at play.
https://idioms.thefreedictionary.com/at+play|at play|The children are at play, and I am doing household chores.
https://idioms.thefreedictionary.com/at+play|at play|Whether I am at work or at play, I try to be pleasant to people.
https://idioms.thefreedictionary.com/at+point-blank+range|at point-blank range|Be careful when firing at point-blank range!
https://idioms.thefreedictionary.com/at+present|at present|I'm sorry, we are not accepting applications at present.
https://idioms.thefreedictionary.com/at+present|at present|Mr. Green is not in the office at present. Can I take a message?
https://idioms.thefreedictionary.com/at+present|at present|We are not able to do any more at present.
https://idioms.thefreedictionary.com/at+present|at present|We may be able to lend you money next week, but not at present.
https://idioms.thefreedictionary.com/at+present|at present|How many people are living in this house at present?
https://idioms.thefreedictionary.com/at+rack+and+manger|at rack and manger|We've been living at rack and manger ever since my husband got that big raise.
https://idioms.thefreedictionary.com/at+random|at random|We will choose a raffle winner at random.
https://idioms.thefreedictionary.com/at+random|at random|The lottery numbers are chosen at random.
https://idioms.thefreedictionary.com/at+random|at random|As a prank, the children dialed phone numbers at random.
https://idioms.thefreedictionary.com/at+random|at random|chose a card at random from the deck.
https://idioms.thefreedictionary.com/at+regular+intervals|at regular intervals|Make sure to position those Christmas lights so that the flashing ones appear at regular intervals.
https://idioms.thefreedictionary.com/at+regular+intervals|at regular intervals|You will find service stations at regular intervals along the highway.
https://idioms.thefreedictionary.com/at+regular+intervals|at regular intervals|There are street lights at regular intervals on the main street of town.
https://idioms.thefreedictionary.com/at+request|at request|I'm only going to the dinner party at my mother's request.
https://idioms.thefreedictionary.com/at+request|at request|Molly has been invited at the bride's request.
https://idioms.thefreedictionary.com/at+request|at request|At his mother's request, Tom stopped playing the saxophone.
https://idioms.thefreedictionary.com/at+request|at request|At the request of the police officer, Bill pulled his car over to the side of the road.
https://idioms.thefreedictionary.com/at+rest|at rest|I was worried that my mother was mad at me until she called and put my mind at rest.
https://idioms.thefreedictionary.com/at+rest|at rest|It's finally quiet in here with that machine at rest.
https://idioms.thefreedictionary.com/at+rest|at rest|I need a few minutes at rest after doing all that work in the garden.
https://idioms.thefreedictionary.com/at+rest|at rest|Aunt Margaret suffered through a long illness. At least she is at rest now.
